Source_Name,RA,DEC,GLON,GLAT,Signif_Avg,Flux1000,Unc_Flux1000,Energy_Flux1000,Unc_Energy_Flux1000,SpectrumType,PL_Index,Unc_PL_Index,Pivot_Energy,LP_Index,Unc_LP_Index,LP_Beta,Unc_LP_beta,Flags,CLASS,ASSOC1,ASSOC_PROB_BAY,ASSOC_PROB_LR,Counterpart_Catalog,RA_Counterpart,DEC_Counterpart,Unc_Counterpart,VLBI_Counterpart,Gaia_Counterpart,Gaia_G_Magnitude,Redshift,SED_class,nu_syn,nuFnu_syn,Variability_Index,Frac_Variability,Unc_Frac_Variability,Highest_energy
4FGL J0001.2+4741,0.3126,47.6859,114.2502,-14.338059,4.19693,1.425261e-10,3.7061673e-11,1.6307984e-12,4.4813526e-13,PowerLaw,2.1983633,0.18752055,2365.8826,2.1732736,0.22415973,0.02462352,0.105218925,0,bcu,B3 2358+474,0.99609655,0.93856317,crates,0.3293408,47.7002009361,8.4e-07,RFC J0001+4742,Gaia DR2: 387294484030352896,20.4141,-inf,ISP,100000000000000.0,3.716456e-13,17.288631,0.65294766,0.38334733,65.5752
4FGL J0001.2-0747,0.3151,-7.7971,89.03272,-67.30501,22.748436,8.397412e-10,6.210809e-11,9.440178e-12,6.5065303e-13,PowerLaw,2.1483262,0.052848384,1272.3579,2.112588,0.06558173,0.04727811,0.035733853,0,bll,PMN J0001-0746,0.99701446,0.93293214,bzcat,0.3251038,-7.774144975,1.8e-07,RFC J0001-0746,Gaia DR2: 2441428980651581056,16.5076,-inf,LSP,91201080000000.0,1.9367698e-12,16.869194,0.21193315,0.10133888,86.9752
4FGL J0001.5+2113,0.3815,21.2183,107.64935,-40.167652,30.666046,9.679271e-10,6.664196e-11,1.926035e-11,8.209581e-13,LogParabola,2.6801705,0.03160488,376.39575,2.5975513,0.04493158,0.14800178,0.03150326,0,fsrq,TXS 2358+209,0.9980486,0.95818156,crates,0.3848771,21.2267429583,3.4e-07,RFC J0001+2113,Gaia DR2: 2846735969108432384,18.4836,1.106,ISP,158489330000000.0,1.152471e-12,920.6774,1.2660484,0.34029126,10.0
4FGL J0001.6-4156,0.4165,-41.9425,334.22635,-72.02855,11.464017,2.808932e-10,3.8070012e-11,3.3864803e-12,4.9140433e-13,PowerLaw,1.8335938,0.097189896,3475.903,1.7955886,0.13819773,0.025063045,0.06202956,0,bcu,2MASS J00013275-4155252,0.9963356,0.85456926,whsp2,0.386479595833,-41.9237053972,6.9e-05,RFC J0001-4155,Gaia DR2: 4995979729065629312,18.5019,-inf,HSP,7328245500000000.0,1.9029483e-12,13.750535,0.40142947,0.20551185,13.4439
4FGL J0002.1-6728,0.5378,-67.4746,310.08493,-48.963467,11.558185,2.2861259e-10,3.4612122e-11,2.8217526e-12,4.3319076e-13,PowerLaw,1.8019888,0.09519692,4380.837,1.6902436,0.14996767,0.1313003,0.07734571,0,bcu,SUMSS J000215-672653,0.9966394,0.9044934,rfc,0.563303229167,-67.4481760667,1.6e-05,RFC J0002-6726,Gaia DR2: 4707413417751868800,18.4183,-inf,,0.0,0.0,10.018329,0.27502185,0.25776625,52.1518
4FGL J0003.1-5248,0.7817,-52.8071,318.9899,-62.788944,13.530244,3.0080502e-10,4.0236574e-11,3.5972744e-12,4.8938463e-13,PowerLaw,1.845431,0.09169981,3921.086,1.7601653,0.12932381,0.07142608,0.060838696,0,bcu,RBS 0006,0.9830022,0.85980093,whsp2,0.831668583333,-52.7909124778,4.628482e-06,RFC J0003-5247,,nan,-inf,,0.0,0.0,5.567842,0.0,10.0,91.645
4FGL J0003.2+2207,0.8058,22.1302,108.438545,-39.380795,4.199248,1.4516446e-10,3.733854e-11,1.7323027e-12,5.317863e-13,PowerLaw,2.275706,0.22956596,2339.043,0.43892384,0.5404578,0.99964654,0.024958888,0,bll,2MASX J00032450+2204559,-inf,0.0,rfc,0.852178433333,22.0821530694,2.3101897e-07,RFC J0003+2204,,nan,0.09983,LSP,83176380000000.0,4.5184033e-13,4.7351174,0.0,10.0,10.0
4FGL J0003.3-1928,0.8465,-19.4676,65.197784,-76.580986,12.278203,3.9028367e-10,4.901146e-11,2.591246e-12,4.29249e-13,LogParabola,2.2405226,0.08540222,1064.3081,2.0111475,0.16471803,0.3160174,0.14015451,0,bcu,PKS 0000-197,0.9972004,0.91010976,wise,0.827812570833,-19.4562098556,1.7e-07,RFC J0003-1927,Gaia DR2: 2365855384650325376,19.1939,-inf,LSP,22908676000000.0,6.41471e-13,42.141415,0.75762665,0.2412525,10.0
4FGL J0003.3-5905,0.8483,-59.0952,314.23904,-56.965885,5.896742,1.312357e-10,2.7736946e-11,1.6756608e-12,3.413378e-13,PowerLaw,2.3632457,0.16532408,1240.8265,2.3370025,0.21061169,0.025621843,0.09697441,4,bcu,PMN J0003-5905,0.97976094,0.9494421,at20g,0.8055400252342224,-59.096580505371094,0.0045,,,nan,-inf,,0.0,0.0,3.44095,0.0,10.0,10.0
4FGL J0003.9-1149,0.9986,-11.8251,84.59542,-71.0751,10.233945,2.8707606e-10,4.0498768e-11,3.2111015e-12,4.419565e-13,PowerLaw,2.1277146,0.098390564,1680.0156,2.0007017,0.17358784,0.26229075,0.12814528,0,bll,PMN J0004-1148,0.9983225,0.97085786,bllac,1.02047914167,-11.8162183194,1.2e-07,RFC J0004-1148,Gaia DR2: 2421598528234887680,19.3223,1.30999,LSP,2454708800000.0,8.173593e-13,4.7231445,0.0,10.0,10.8395
